time,x,y,vx,vy,heading,label
0,61.245983554271746,-99.59388898892422,2.210467570065324,4.077769713332038,1.0740559225495507,Trajectory_1
1,63.45469614300488,-95.53983194086086,2.2069576074009527,4.03034438279466,1.0698088508994588,Trajectory_1
2,65.68985935946337,-91.52570183646287,2.263368825516028,3.997915826001316,1.0556481928355057,Trajectory_1
3,67.6306843470124,-87.36736630813809,1.6102969659285324,4.301645424409185,1.2126005345210145,Trajectory_1
4,68.89927497967584,-82.95920993128067,0.9216737739301712,4.496523687199505,1.3686219712417234,Trajectory_1
5,69.467381074743,-78.40317371603692,0.2122121081135058,4.596828706942593,1.5246641868315065,Trajectory_1
6,69.3173604359015,-73.80570124637956,-0.5116405938234038,4.579214000037571,1.6820659291932056,Trajectory_1
7,68.44986423283143,-69.28399922559834,-1.2197789816830475,4.445593386043806,1.8385854240519224,Trajectory_1
8,66.8882164648117,-64.94577735695282,-1.89708547488218,4.2130294967909725,1.993891474427054,Trajectory_1
9,64.66494549373897,-60.90035727463152,-2.5403253655952853,3.8611610560922673,2.1527173201882035,Trajectory_1
10,61.8338575652739,-57.25548549765068,-3.1101974126541183,3.413581950236721,2.3097235569877523,Trajectory_1
11,58.462314458464434,-54.100050743790746,-3.6190452048674873,2.884304555461425,2.468696242978992,Trajectory_1
12,54.626947359536366,-51.51774776321986,-4.035931247477752,2.269651000432193,2.6293086642770764,Trajectory_1
13,50.58794595655706,-49.24100845196858,-4.042071558480864,2.283827622070355,2.6272953871005105,Trajectory_1
14,46.55617069250873,-46.982677723208894,-4.02147896961579,2.232833835448857,2.6347452252431736,Trajectory_1
15,42.56093645299933,-44.76731754546381,-3.968989509403014,2.197886520041452,2.6358636281851324,Trajectory_1
16,38.558425256648704,-42.57171571031165,-4.036032883298244,2.193317150262913,2.643804555890036,Trajectory_1
17,34.4952109328927,-40.36200696592243,-4.09039576421376,2.2261003385155385,2.6431931459641262,Trajectory_1
18,30.418220692618476,-38.11345945321432,-4.063584716334688,2.270994686900629,2.6319688973037523,Trajectory_1
19,26.336125156966666,-35.78967929291184,-4.100606354968932,2.376565633704332,2.616334840584437,Trajectory_1
20,22.230362860622026,-33.429606443467435,-4.110918237720346,2.3435800651844643,2.62345864221166,Trajectory_1
21,18.15072988218267,-31.12705105274091,-4.0483477191583725,2.261530716268587,2.632147456403359,Trajectory_1
22,14.175647860095395,-28.839703383651567,-3.901816325016172,2.3131646219101363,2.606452249294452,Trajectory_1
23,10.35047528429044,-26.49985906429032,-3.748528826593738,2.3665240168123725,2.578460988940563,Trajectory_1
24,6.676046449446972,-24.10528071278884,-3.600328843093205,2.4226326861905254,2.549292537841742,Trajectory_1
25,3.1482460539863766,-21.656027780127033,-3.4552719478279648,2.4758731791330737,2.51984581842218,Trajectory_1
26,-0.23558532512330288,-19.15220589611596,-3.3123908103913866,2.531770588889076,2.488981167777278,Trajectory_1
27,-3.477542189604833,-16.591206600046178,-3.171522918571695,2.590228003250509,2.456742855229917,Trajectory_1
28,-6.5774275123691694,-13.972923354163868,-3.0282477269569763,2.646338488514128,2.4233948400486214,Trajectory_1
29,-9.537380067180472,-11.302105202160078,-2.891657382665628,2.6952978154935194,2.391326108262393,Trajectory_1
30,-12.360031039896263,-8.580320748986594,-2.7536445627659414,2.7482710908535,2.3571711446055046,Trajectory_1
31,-15.039379939147082,-5.808479826146993,-2.605053235735714,2.7954107548257343,2.320960713658505,Trajectory_1
32,-17.568794410631718,-2.989728606107633,-2.4537757072335533,2.842091685253036,2.2830011369508814,Trajectory_1
33,-19.99658124370046,-0.12564544759561613,-2.401797958903935,2.886074631771068,2.264866739043692,Trajectory_1
34,-22.353100377524996,2.730569980184953,-2.311240308745107,2.82635622379011,2.256264470674677,Trajectory_1
35,-24.700185756940655,5.552452591697431,-2.3829304500861976,2.817408999234772,2.272839963441997,Trajectory_1
36,-27.074993934188967,8.370498851484854,-2.3666859044104447,2.8186835203400458,2.2692463916546,Trajectory_1
37,-29.415132500994048,11.175857713579205,-2.313591229199721,2.79203420384863,2.2627583673260188,Trajectory_1
38,-31.714374938310584,13.91396264009245,-2.284893645433349,2.6841756491778344,2.2760132835363613,Trajectory_1
39,-33.98978863720683,16.595476536163517,-2.265933752359147,2.67885214296427,2.272881965717564,Trajectory_1
40,-36.246603207936644,19.236337627076068,-2.247695389100496,2.60287003886084,2.2831015870679807,Trajectory_1
41,-38.519824309386294,21.84152263140436,-2.2987468137988065,2.607499969795718,2.293346746467541,Trajectory_1
42,-40.86756452403321,24.483593917190717,-2.3967336154950525,2.67664260177702,2.30107823606254,Trajectory_1
43,-43.1566999243272,27.248545685843226,-2.179183440476926,2.850414945258103,2.2235221579165603,Trajectory_1
44,-45.22206878199732,30.180504181408025,-1.949430995943755,3.010486347823011,2.14544508995073,Trajectory_1
45,-47.05226674508506,33.26234824078591,-1.7090840974420276,3.150030930227761,2.067910319616698,Trajectory_1
46,-48.63227267748279,36.477085123769314,-1.4492994342208534,3.276138363698433,1.9872957620284644,Trajectory_1
47,-49.94924993475286,39.8094284565982,-1.1832986697371743,3.385124784752265,1.907077649225131,Trajectory_1
48,-51.00113746894354,43.23365193494459,-0.9193976044355646,3.459797445978279,1.8305309525693965,Trajectory_1
49,-51.78339417003514,46.7230866838961,-0.6443110784711986,3.515481277258053,1.7520627595809402,Trajectory_1
50,-52.29206968560946,50.255517727907375,-0.372520030970147,3.545743942844988,1.6754734936409237,Trajectory_1
51,-52.524158867661725,53.81474687488247,-0.091418798201773,3.569057367852605,1.596404996994596,Trajectory_1
52,-52.47763691553446,57.38777225162778,0.1844125682625057,3.5733238005675827,1.5192339388769145,Trajectory_1
53,-52.15107758254082,60.94834678274731,0.4683724759203828,3.5441624259020923,1.439404473504811,Trajectory_1
54,-51.54830426448635,64.47540289826628,0.736550050700354,3.506328381500186,1.363743741875814,Trajectory_1
55,-50.67379107826763,67.94883311616417,1.0115782851118371,3.4369603138627185,1.2845554065095148,Trajectory_1
56,-49.53147931678082,71.34439720348519,1.2718675101545147,3.3506784696437766,1.2080119440151054,Trajectory_1
57,-48.131880982433344,74.64125520912148,1.5258875612456342,3.239647277675199,1.1306132275866674,Trajectory_1
58,-46.48337927317496,77.81975580542326,1.7694178284512752,3.114087946022734,1.0540891287929577,Trajectory_1
59,-44.596932578502745,80.85905200777404,2.001532461248882,2.9613772838219896,0.9764431012087276,Trajectory_1
60,-42.480804297891936,83.74072458306301,2.228548750599382,2.7990069132779567,0.8983812508285398,Trajectory_1
61,-40.14323291682449,86.44510402335214,2.4441920389375027,2.6069669512547997,0.8176122754924313,Trajectory_1
62,-37.59614842955175,88.95498105062075,2.6473612187179043,2.4102080403079,0.7385417423874912,Trajectory_1
63,-34.915577065245174,91.3853029701113,2.713781509895228,2.450435798673159,0.7344479842727681,Trajectory_1
64,-32.20115057958769,93.84288795647564,2.7150714614197407,2.4647341740555317,0.7371062640072376,Trajectory_1
65,-29.483304107531083,96.29471821587128,2.7206214826934803,2.4389263447357816,0.7308554490079395,Trajectory_1
66,-26.755380134665756,98.71740360853306,2.735226463037178,2.4064444405878134,0.7215405177525543,Trajectory_1
0,64.59487903399872,-148.31571071989018,2.8794761049038726,5.025699156219416,1.0505037755063815,Trajectory_2
1,67.0658689152998,-143.08463031911242,2.052326612375132,5.414942212812687,1.2085131711169974,Trajectory_2
2,68.68813525191302,-137.5324610550758,1.1855434662969129,5.666548818651354,1.3645533127105522,Trajectory_2
